so,so_date,so_del_date,qty,closed,act_disp_qty,act_disp_date,rate,currency,customer,fgcode_id
17021624,20-07-2018,19-09-2018,908,1,908,,4.92,USD,Delta Int Trade,329
17021624,20-07-2018,19-09-2018,1277,1,1277,,8.45,USD,Delta Int Trade,330
17021624,20-07-2018,19-09-2018,4130,1,4130,,4.92,USD,Delta Int Trade,323
17021625,20-07-2018,18-09-2018,473,1,473,,24.4,USD,Uragme Srl,142
17021626,23-07-2018,26-09-2018,210,1,210,,21.11,USD,NWI,272
17021626,23-07-2018,26-09-2018,210,1,210,,23.97,USD,NWI,273
17021626,23-07-2018,26-09-2018,270,1,270,,14.51,USD,NWI,265
17021626,23-07-2018,26-09-2018,240,1,240,,14.88,USD,NWI,373
17021626,23-07-2018,26-09-2018,216,1,216,,55.4,USD,NWI,256
17021626,23-07-2018,26-09-2018,224,1,224,,45.49,USD,NWI,338
17021626,23-07-2018,26-09-2018,158,1,158,,77.18,USD,NWI,339
17021627,03-08-2018,24-09-2018,488,1,488,,25.56,USD,Karsten Intl ,146
17021627,03-08-2018,24-09-2018,146,1,146,,29.52,USD,Karsten Intl ,145
17021628,10-08-2018,04-10-2018,480,1,480,,48.64,USD,NWI,269
17021628,10-08-2018,04-10-2018,648,1,648,,12.57,USD,NWI,270
17021628,10-08-2018,04-10-2018,252,1,252,,15.88,USD,NWI,275
17021628,10-08-2018,04-10-2018,240,1,240,,14.36,USD,NWI,284
17021628,10-08-2018,04-10-2018,280,1,280,,21.92,USD,NWI,282
17021629,13-08-2018,22-10-2018,210,1,210,,21.11,USD,NWI,272
17021629,13-08-2018,22-10-2018,270,1,270,,14.51,USD,NWI,265
17021629,13-08-2018,22-10-2018,600,1,600,,15.4,USD,NWI,268
17021629,13-08-2018,22-10-2018,1440,1,1440,,8.96,USD,NWI,285
17021629,13-08-2018,22-10-2018,344,1,344,,55.4,USD,NWI,256
17021673,23-07-2018,30-07-2018,86,1,86,,,USD,EXCLUSIVE EQUIPMENTS KENYA,379
17021676,27-07-2018,08-10-2018,571,1,571,,24.72,USD,Lybar,468
17021676,27-07-2018,08-10-2018,348,1,348,,13.74,USD,Lybar,479
17021676,27-07-2018,08-10-2018,223,1,223,,13.74,USD,Lybar,478
17021677,27-07-2018,07-11-2018,48,1,48,,195,USD,"AUROMERE INC., Brazil",52
17021677,27-07-2018,07-11-2018,48,1,48,,194,USD,"AUROMERE INC., Brazil",48
17021678,02-08-2018,21-08-2018,100,1,100,,29.5,USD,NWI,250
17021678,02-08-2018,21-08-2018,924,1,924,,26.47,USD,NWI,251
17021679,02-08-2018,04-10-2018,702,1,702,,17.51,USD,NWI,263
17021679,02-08-2018,04-10-2018,216,1,216,,27.91,USD,NWI,264
17021679,02-08-2018,04-10-2018,2400,1,2400,,8.96,USD,NWI,285
17021679,02-08-2018,04-10-2018,216,1,216,,55.4,USD,NWI,256
17021680,02-08-2018,18-10-2018,192,1,192,,67.21,USD,NWI,335
17021680,02-08-2018,18-10-2018,378,1,378,,17.51,USD,NWI,263
17021680,02-08-2018,18-10-2018,350,1,350,,17.67,USD,NWI,259
